checkpoint_path,step,epoch,model_params,d_model,n_layers,n_heads,val_loss,val_perplexity,val_accuracy,test_loss,test_perplexity,test_accuracy
checkpoints/sample_custom/trained/best_model.pt,35,8,110144,64,2,4,3.0788450241088867,21.733286472935244,0.12,3.0788450241088867,21.733286472935244,0.12
checkpoints/sample_custom/trained/checkpoint_step_10.pt,10,2,110144,64,2,4,3.222560405731201,25.09228443189539,0.14,3.222560405731201,25.09228443189539,0.14
checkpoints/sample_custom/trained/checkpoint_step_15.pt,15,3,110144,64,2,4,3.1945314407348633,24.39873875842931,0.15,3.1945314407348633,24.39873875842931,0.15
checkpoints/sample_custom/trained/checkpoint_step_20.pt,20,4,110144,64,2,4,3.13002610206604,22.874576608357717,0.14,3.13002610206604,22.874576608357717,0.14
checkpoints/sample_custom/trained/checkpoint_step_25.pt,25,6,110144,64,2,4,3.1291086673736572,22.85360030187058,0.11,3.1291086673736572,22.85360030187058,0.11
checkpoints/sample_custom/trained/checkpoint_step_30.pt,30,7,110144,64,2,4,3.081821918487549,21.798080566002195,0.13,3.081821918487549,21.798080566002195,0.13
checkpoints/sample_custom/trained/checkpoint_step_35.pt,35,8,110144,64,2,4,3.0788450241088867,21.733286472935244,0.12,3.0788450241088867,21.733286472935244,0.12
checkpoints/sample_custom/trained/checkpoint_step_5.pt,5,1,110144,64,2,4,3.343317985534668,28.31291286413594,0.13,3.343317985534668,28.31291286413594,0.13
checkpoints/sample_custom/trained/final_model.pt,40,9,110144,64,2,4,3.0959012508392334,22.107153652723053,0.11,3.0959012508392334,22.107153652723053,0.11
